Korean,French
내가,je
그,que
난,Je suis
내,mon
안,pas
수,nombre
이,ce
네,Oui
거야,va être
좀,un peu
그래,d'accord
있어,il y a
왜,pourquoi
더,plus
그리고,et
우리,nous
다,tous
무슨,quoi
한,un
하지만,mais
잘,Bien
어떻게,comment
할,ça ira
그냥,juste
정말,vraiment
그럼,alors
것,chose
게,crabe
있어요,il y a
있는,il y a
해,soleil
여기,ici
넌,toi
제가,Je suis
날,moi
우리가,nous
건,cas
전,faire un gardien
이제,maintenant
지금,maintenant
그게,c'est
걸,fille
거,chose
아니,Non
네가,toi
없어,n'existe pas
돼,Être
저,je
우린,nous
제,mon
못,étang
좋아,bien
당신이,toi
다른,différent
나,moi
그런,que
그건,que
너무,aussi
그래서,donc
그렇게,comme ça
다시,encore
이건,Ce
이런,ce
나도,moi aussi
모든,chaque
당신,toi
거예요,Volonté
당신은,tu es
아,ah
좋은,bien
오,Oh
때,à l'époque
너,toi
하는,faire
하고,faire
아냐,Non
나는,Je suis
아니야,Non
알아,savoir
같이,ensemble
응,hein
이게,ce
없어요,Non
괜찮아,êtes-vous d'accord
오늘,aujourd'hui
말이야,Mot
줄,doubler
또,aussi
널,toi
누가,OMS
어떤,lequel
아주,très
말,mot
아직,encore
안돼,Non
진짜,vraiment
모두,chaque
마,esprit
같은,même
여기서,ici
어서,dépêchez-vous
그는,il est
위해,pour
해요,faire
일이,Jours
하지,solstice d'été
엄마,maman
바로,dès que
가,aller
근데,cependant
알고,savoir
이렇게,comme ça
빨리,dépêchez-vous
있습니다,il y a
이거,ce
전에,avant
어,euh
아뇨,Non
계속,continuer
닥터,médecin
얼마나,combien
될,Être
알았어,d'accord
않아,Pas
제발,s'il te plaît
있지,En place
겁니다,C'est
어디,où
사람이,Personnes
그가,il
안녕,Salut
좋아요,super
같아,même
우리는,nous sommes
그래요,est-ce ainsi
당신을,toi
자,règle
그걸,Que
두,deux
아니에요,Non
있을,Inquisition
때문에,parce que
대해,à propos
아빠,papa
몇,quelques
사람,personne
했어,je l'ai fait
뭐야,quoi
수도,capital
많이,beaucoup
집에,à la maison
거지,les pauvres
일을,travail
저는,Je suis
음,Hmm
그렇지,Oui
함께,ensemble
만약,si
하나,un
저기,excusez-moi
고마워요,merci
항상,toujours
나한테,Tome
잠깐,pour un moment
가서,Aller
가장,la plupart
돼요,peut
거죠,C'est
가자,allons-y
맞아,c'est exact
보고,rapport
와,et
그거,que
말을,Mots
괜찮아요,êtes-vous d'accord
아무도,personne
없는,N'ai pas
안녕하세요,Bonjour
몰라,Je ne sais pas
일,Jour
많은,beaucoup
당신의,ton
아무것도,rien
그러니까,donc
큰,grand
알아요,je sais
그의,Son
뭐가,quoi
고마워,merci
그만,arrêt
했어요,je l'ai fait
젠장,merde
사람들이,Personnes
거에요,C'est
이걸,Ce
그럴,Donc
것도,Aussi
말이,Mots
이미,déjà
야,Hé
그를,Lui
뭔가,Quelque chose
온,sur
이봐,Hé
아니면,ou non
같아요,même
그런데,cependant
아니라,pas
세상에,oh mon Dieu
있다고,Y a-t-il
있고,Et
뭐라고,quoi
예,Oui
절대,jamais
말야,Toi
당장,tout de suite
그래도,toujours
대한,À propos
말은,Les mots
거기,là
전부,entier
둘,deux
그녀는,elle est
니가,toi
갈,conflit
않아요,Non
자기,soi
있죠,Est-ce
하면,si
가지고,avoir
그들이,ils
참,vraiment
너도,toi aussi
됐어,C'est bon
미안해,Désolé
것을,Chose
여긴,Ici
아무,n'importe lequel
사람은,personnes
감사합니다,merci
다들,tout le monde
어때,comment
씨,Graine
곧,bientôt
엄마가,Maman
나를,moi
이젠,maintenant
아마,peut être
그들은,ils
얘기,parler
꼭,s'il te plaît
있잖아,Hé
저도,moi aussi
지금은,maintenant
그녀가,Elle
중,milieu
있다,il y a
시간,heure
먼저,d'abord
우릴,coréen
말고,pas
사람을,Personnes
수가,accusation médicale
봐요,voir
있는데,il y a
알았어요,d'accord
해야,Soleil
있었어,Il y avait
우리의,Notre
않을,Ne pas
방금,tout à l' heure
완전,très
된,된
동안,pendant
시간이,Cette fois
싶어,vouloir
본,copie
일은,Travail
친구,ami
들어,écouter
안에,dans
번,ème
자네,toi
합니다,faire
사실,en fait
한번,une fois
대체,comment
같은데,Comme
생각해,pense
맞아요,c'est exact
볼,joue
혼자,seul
자네가,Toi
절,je
그러니,donc
선생님,professeur
사람들은,Personnes
문제가,Le problème
다음,suivant
물론,bien sûr
거의,presque
일이야,C'est du travail
없습니다,n'existe pas
아빠가,Papa
되는,abattu
그러면,alors
순,Pur
가는,en allant
말도,Discours
이리,Loup
있었어요,Il y avait
맙소사,oh mon Dieu
내일,demain
있으면,s'il y a
잠깐만,Attendez une seconde
싫어,Non
중요한,important
내게,tome
말해,dire
이상,plus
거라고,C'est tout
아는,savoir
너는,toi
새,oiseau
적,ennemi
전혀,du tout
여자,femelle
새로운,nouveau
너희,vous les gars
왔어,Je suis là
아직도,toujours
가지,aubergine
나와,sortir
알,œuf
싶지,Je veux
여기에,Ici
원하는,vouloir
돈,argent
필요,nécessaire
도움이,aide
그녀를,Son
몰라요,Je ne sais pas
작은,petit
혹시,si
미안해요,Désolé
나쁜,mauvais
죄송해요,Désolé
모르겠어,Je ne sais pas
가요,chanson
알지,savoir
밖에,dehors
직접,directement
있나,Y a-t-il?
니,toi
해도,graphique
하죠,Fais-le
했는데,je l'ai fait
필요해,J'ai besoin
아니요,Non
적이,Ennemis
있나요,as-tu
갖고,Avoir
돈을,argent
주세요,s'il te plaît
어디서,où
것이,Que
거요,Oui
위한,pour
것은,Qu'est-ce que
없이,sans
나중에,plus tard
아버지,père
나랑,avec moi
됐어요,C'est bon
마세요,ne pas
차,voiture
언제,quand
그저,juste
생각,pensée
했지,A fait
봤어,scie
해서,Donc
시간을,Temps
마지막,dernier
알겠어,d'accord
왜냐면,parce que
위해서,pour
엄청,très
알겠습니다,D'accord
오래,longue durée
기다려,attendez
아닙니다,Non
있는지,Quoi que ce soit
알겠어요,d'accord
제일,la plupart
지난,passé
그렇죠,Oui
죽은,mort
제대로,correctement
아니지,Non
있다면,s'il y a
보면,Regarder
우리를,Nous
짓을,Faire
남자,homme
너가,tu es
있다는,Que
누구,OMS
보여,voir
왔어요,est venu
너한테,pour vous
여러분,tout le monde
완전히,complètement
너의,ton
것이다,sera
밤,nuit
소리,son
없지,Non
벌써,déjà
모르겠어요,Je ne sais pas
말이지,Je veux dire
올,tous
사람들을,Personnes
처음,d'abord
말이죠,Mot
사람들,personnes
그녀의,son
멋진,merveilleux
왜요,pourquoi
정말로,vraiment
이름은,nom est
와서,viens
대해서,à propos
여보,Miel
조금,petit
않았어,je n'ai pas
말이에요,Je veux dire
이름이,Le nom
여보세요,Bonjour
서로,l'un l'autre
안돼요,Non
죽을,en train de mourir
첫,D'abord
매우,très
사랑해,je t'aime
오늘은,aujourd'hui
싶은,Désir
어디로,Où
단지,seulement
아닌,pas
나가,sortir
뿐이야,seulement
미안,Désolé
확실히,sûrement
싶어요,vouloir
죄송합니다,Désolé
때까지,jusqu'à
없고,Sans
어때요,comment c'est
살,graisse
당연히,bien sûr
데리고,le long de
필요한,nécessaire
없다,n'existe pas
후,après
가고,bonne nuit
글쎄,Bien
않는,pas
했죠,je l'ai fait
나의,mon
별로,pas vraiment
않은,Déchaîné
라고,Appelé
집,maison
여전히,toujours
없을,Il n'y a pas
딱,Parfait
있어서,Donc
이야기,histoire
엄마는,Maman est
부인,madame
하는데,faire
않고,Sans
알았지,Comprendre
아니고,Pas
여자가,Une femme
문,porte
되지,Pas
거기서,là-bas
훨씬,plus
아버지가,Père
망할,Détruit
뭔지,Ce que c'est
손,main
수술,chirurgie
듣고,écouter
어쩌면,peut-être
보세요,regarder
생각이,Pensée
어느,n'importe lequel
그러지,Donc
되면,Si c'est
아마도,peut être
준비,préparation
전화,appel téléphonique
뒤에,derrière
도대체,pourquoi
너를,toi
당신도,Toi
것처럼,Comme
않으면,Sinon
말하는,parler
최고의,Super
말하지,Parler
세,compter
모르는,ne sait pas
유일한,seulement
갑자기,soudainement
이봐요,Hé
건가요,Est-ce un cas
없다고,Pas
것입니다,Sera
있잖아요,Il y a
되고,Et
어쨌든,de toute façon
가진,avoir
이번,cette fois
뭐하는,Ce qu'il faut faire
후에,plus tard
친구가,Un ami
지,ji
신경,nerf
그만해,arrêt
누구야,qui est-ce
당신에게,pour vous
늘,toujours
없었어,Non
그들을,eux
있게,Avec
알잖아,Tu sais
누군가,quelqu'un
분명히,clairement
생각을,Pense
존,zone
일단,d'abord
가야,Gaya
걱정,inquiétude
보자,voir
매일,tous les jours
수는,Eau
아침,matin
말할,Dire
말아요,Ne le faites pas
모두가,Tout le monde est
않았어요,Je n'ai pas
얘기를,Parler
봤어요,scie
대신,plutôt
마치,comme
건데,je
자넨,Manen
했잖아,Tu l'as fait
둘이,deux personnes
당신과,avec toi
집으로,à la maison
한다,faire
두고,Gauche
이름을,nom
있네,Il y a
그들의,leur
뭔데,Quoi
금방,bientôt
사는,vie
좋아하는,Préféré
찾을,Trouvé
맘에,J'aime ça
결국,enfin
이유가,la raison est
필요해요,J'ai besoin
중에,Au milieu
그때,à ce moment-là
보는,voir
너랑,avec toi
아이를,L'enfant
없잖아,Non
한다고,Que
기분,humeur
하게,faire
놈이,Gars
못해,ne peut pas
우리에게,À nous
가면,masque
저를,moi
잡아,attraper
집에서,à la maison
우리도,Nous aussi
기분이,Sentir
저희,nous
찾고,Découverte
손을,main
거다,Obtenir
어제,hier
남자가,Un homme
뭐지,quoi
앞으로,désormais
잠깐만요,Attendez
자신의,Propre
애가,passionné
이상한,bizarre
막,membrane
먹고,manger
아이,enfant
언제나,toujours
여기가,ici
아들,fils
알게,Savoir
하세요,faire
총,pistolet
스스로,soi
방법이,Méthode
있던,Dans
해봐,essayer
아님,Non
때가,Temps
아니죠,Non
했던,A fait
조용히,tranquillement
밤에,La nuit
미친,fou
텐데,Ce serait
머리,tête
않습니다,pas
잘못,faux
고맙습니다,Merci
있어야,Doit être
왜냐하면,parce que
앉아,asseyez-vous
아침에,Le matin
죽일,Tuer
환자,patient
양,mouton
없죠,Non
일어나,réveillez-vous
믿을,Croire
같네요,Le même
건가,Pistolet
게다가,en outre
알렉스,Alex
타고,Équitation
데,lieu
들었어,J'ai entendu
눈을,Yeux
나에게,tome
없었어요,Il n'y avait pas
만나서,rencontrer
진정해,calme-toi
이것,ce
더이상,Plus
보지,Chatte
방법을,Comment
원래,généralement
솔직히,pour être honnête
좋지,C'est bon
하려고,va faire
빌어먹을,Condamner
총을,Pistolet
길을,Chemin
누군지,Qui est
아니라고,Non
자신을,Eux-mêmes
여길,Ici
있지만,Bien que
얼른,dépêchez-vous
얘들아,Les gars
대로,Route
만든,fait
놈,type
조심해,sois prudent
일에,Au travail
따라,selon
술,alcool
정확히,exactement
자기가,Eux-mêmes
충분히,assez
힘을,Pouvoir
아저씨,Monsieur
알겠지,j'ai compris
있었는데,Il y avait
사랑하는,Aimant
기다리고,En attendant
될거야,Ce sera
살아,en direct
평생,pour toujours
아까,il y a un moment
얘야,Hé
눈,œil
거기에,Là
애,bébé
분명,À coup sûr
말하고,Parlait
역시,aussi
저희가,nous
찾아,trouver
걔가,Elle
이럴,Ce
저기요,Hé
너와,avec toi
될까요,Qu'il sera
천천히,lentement
문제,problème
수술을,Chirurgie
좋았어,C'était bon
어디에,où
문을,La porte
맞지,Droite
어딨어,Où es-tu
조지,George
아녜요,Non
저녁,dîner
됩니다,C'est possible
마요,Autel
생각엔,Je pense
만들어,faire
적어도,Au moins
애들,enfants
개,chien
잘했어,bon travail
그러나,cependant
주,principal
괜찮은,Décent
생각은,Pensée
위에,au-dessus de
가끔,parfois
있었던,Dans
간,foie
잠시,pour un moment
알아서,En soi
곳에,En place
집을,Maison
그렇지만,mais
그레이,gris
그럼요,bien sûr
삶을,Vie
마음에,dans le coeur
살고,en direct
들고,Avec
분,minute
그랬어,je l'ai fait
차를,Thé
옆에,Suivant
아이가,Enfant
이번엔,cette fois
저게,Que
아빠는,Papa
괜찮을,Ça doit être bien
하자,faisons-le
알았는데,D'accord
생각해요,Pensez-y
없는데,Il n'y a pas
생각하는,Pensée
아니잖아,Non
마지막으로,enfin
여자를,La femme
죽었어,Décédé
멍청한,stupide
훌륭한,excellent
있었지,Il y avait
정도,degré
베일리,Baiey
준비가,Lecteur
남은,gauche
있으니까,Parce que
싫어요,non je ne veux pas
입니다,pas voir
영원히,pour toujours
엄청난,exorbitant
정신,mental
는,Est
계세요,Il y a quelqu'un
하는지,Quoi que ce soit
좋을,Bien
있었죠,Était là
간다,Va
기회를,Opportunité
그대로,tel quel
하나도,Un
멈춰,arrêt
필요가,Besoin
도와줘,Aide-moi
다음에,la prochaine fois
앞에서,devant
뭐든,Peu importe
물,eau
밖으로,dehors
오는,à venir
그렇다면,alors
미국,Etats-Unis
말라고,Ne pas
하지마,ne le faites pas
서,Ouest
말한,Parlé
테니까,Parce que
앞에,Avant
를,casting
처럼,comme
저한테,tome
거고,Donc
받아,recevoir
그것도,Cela aussi
요즘,récemment
믿어,croire
뒤로,en arrière
놈들이,Les gars
입고,magasin
보니,Bonnie
속에,à l'intérieur
잠시만요,attends une minute
소리야,Son
들어봐,écouter
자기야,bébé
헤이,Hé
에,à
이해가,Compréhension
옷,vêtements
들어가,Va dans
아버지는,Mon père
않을거야,Je ne vais pas
있소,Là
자네는,Toi
모르겠지만,Je ne sais pas
누구도,N'importe qui
입,bouche
어머니,mère
특별한,spécial
좋겠어,Je souhaite
준,Juin
그것은,que
관한,à propos
할게,Je vais le faire
여기는,Voici
언니,sœur
환자가,Patient
갈게,j'y vais
나야,c'est moi
제게,Tome
하루,jour
단,étape
필,Remplissage
가세요,aller
끔찍한,Horrible
걸로,Éclairé
사랑,amour
일도,Travail
아름다운,beau
년,année
형,frère
뭐요,quoi
저런,Que
별,étoile
아니다,Non
받고,sous
할거야,je le ferai
쓸,Utile
씨발,Putain
돈이,argent
그에게,à lui
뭔가를,Quelque chose
마음을,Le cœur
문제는,le problème est
의,de
서둘러,Dépêchez-vous
못할,Désagréable
없네,Il n'y a pas
끝났어,c'est fini
있을거야,Il y aura
머리를,Tête
생각하지,Pense
뭐라고요,Je vous demande pardon
힘든,fatigant
보게,Regarder
가게,magasin
말해봐,dis-le
밥,riz
상황이,Situation
줘요,Donner
만큼,autant que
했지만,Cependant
같은데요,On dirait
이름,nom
엄마를,Maman
전화를,téléphone
어쩔,Forcé
있니,Y a-t-il
번째,ème
할까,Devrais-je
얘길,Parler
찾는,Trouvé
선생님이,Professeur
진짜로,vraiment
일이에요,C'est du travail
건지,Vanité
가족을,Famille
할지,Ou
중이야,C'est lourd
믿지,Croire
닥쳐,fermez-la
여기로,Ici
저건,Que
주고,donner
멀리,loin
어이,Hé
거짓말,mensonge
약,environ
잭,jack
사실은,En fait
받을,Réception
그러고,Alors
겁니까,Est-ce
먹을,Mangé
그치만,Oui
너에게,pour vous
들었어요,je l'ai entendu
하기,faire
오빠,frère
오고,Viens
있을까,Y aura-t-il
어린,jeune
통해,à travers
아닌데,Ce n'est pas
조금만,un petit peu
맞는,droite
차에,Dans la voiture
여자는,La femme
보러,voir
손에,Dans la main
모르지,Je ne sais pas
가까이,étroitement
테니,Tenny
되죠,A-t-il
점점,Progressivement
잔,verre
이야기를,Histoires
물론이죠,Bien sûr
학교,école
주는,Donnant
아가씨,manquer
먹어,manger
것에,Sur
크게,grand
이유는,La raison est
군,armée
모두들,Tout le monde
죽인,Tué
셋,trois
알죠,Je sais
기억,mémoire
경찰,police
제이,Geai
그래야,De sorte que
목숨을,Risque
있을까요,Y a-t-il?
아니지만,Pas
했다,a fait
딸,fille
많아,beaucoup
떨어져,loin
사람이야,C'est une personne
다시는,jamais
거잖아,C'est ça
애들이,Enfants
애를,Enfant
을,deuxième
말이다,말 이다
없다는,Pas
만들,faire
오면,Quand ça vient
할게요,Je vais le faire
아기,bébé
영화,film
가족,famille
찾았어,je l'ai trouvé
특히,en particulier
아들을,Fils
제발요,s'il te plaît
꿈을,rêve
세상을,Le monde
놈을,Gars
아니었어,Non
마이크,Mike
그리,image
무엇을,quoi
만드는,fabriqué
얼마,combien
보여요,Montrer
사진,image
칼,couteau
잠시만,pour un moment
병원에,À l'hôpital
같습니다,Même
바보,idiot